School ID,Name of School,"Elementary, Middle, or High School",Street Address,City,State,ZIP Code,Network Manager,Collaborative Name,Safety Score,Family Involvement Score,Environment Score,Instruction Score,Leaders Score ,Teachers Score,Parent Engagement Score,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students),Average Teacher Attendance,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment,Community Area Name
610027,Rudyard Kipling Elementary School,ES,9351 S Lowe Ave ,Chicago,IL,60620,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,52,,42,42,,,53,51,0.947,23.4,0.96,,,,445,WASHINGTON HEIGHTS
610250,Rueben Salazar Elementary Bilingual Center,ES,160 W Wendell St ,Chicago,IL,60610,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,64,,54,53,,,52,47,0.951,44.6,0.958,,,,444,NEAR NORTH SIDE
609995,Rufus M Hitch Elementary School,ES,5625 N McVicker Ave ,Chicago,IL,60646,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,64,77,55,58,65,70,55,54,0.951,3.7,0.966,,,,542,NORWOOD PARK
609853,Salmon P Chase Elementary School,ES,2021 N Point St ,Chicago,IL,60647,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,55,28,59,39,25,27,,,0.954,18.5,0.958,,,,504,LOGAN SQUARE
609943,Samuel Gompers Fine Arts Options Elementary School,ES,12302 S State St ,Chicago,IL,60628,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,34,42,48,52,57,59,49,47,0.936,54.2,0.96,,,,285,WEST PULLMAN
610155,Sauganash Elementary School,ES,6040 N Kilpatrick Ave ,Chicago,IL,60646,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,99,,76,61,,,,,0.963,1.5,0.954,,,,549,FOREST GLEN
609805,Scott Joplin Elementary School,ES,7931 S Honore St ,Chicago,IL,60620,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,35,29,44,53,45,34,52,50,0.95,44.5,0.946,,,,538,AUBURN GRESHAM
609968,Sharon Christa McAuliffe Elementary School,ES,1841 N Springfield Ave ,Chicago,IL,60647,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,,,,,,,52,56,0.939,14.2,0.957,,,,862,HERMOSA
610157,Sidney Sawyer Elementary School,ES,5248 S Sawyer Ave ,Chicago,IL,60632,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,57,30,41,39,24,29,49,52,0.968,7.4,0.964,,,,1846,GAGE PARK
610283,Simon Guggenheim Elementary School,ES,7141 S Morgan St ,Chicago,IL,60621,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,30,,38,22,,,48,47,0.909,29.5,0.931,,,,291,ENGLEWOOD
610521,Sir Miles Davis Magnet Elementary Academy,ES,6730 S Paulina St ,Chicago,IL,60636,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,35,,51,54,,,,,0.93,57.8,0.945,,,,354,WEST ENGLEWOOD
610534,Skinner North,ES,640 W Scott St ,Chicago,IL,60610,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,,,,,,,64,52,0.964,0,0.978,,,,242,NEAR NORTH SIDE
610226,Socorro Sandoval Elementary School,ES,5534 S Saint Louis Ave ,Chicago,IL,60629,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,,,,,,,44,50,0.958,3.7,0.965,,,,1186,GAGE PARK
610160,Songhai Elementary Learning Institute,ES,11725 S Perry Ave ,Chicago,IL,60628,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,17,,47,54,,,46,46,0.895,84.7,0.954,,,,352,WEST PULLMAN
609990,South Loop Elementary School,ES,1212 S Plymouth Ct ,Chicago,IL,60605,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,84,66,34,36,57,46,54,46,0.953,12.7,0.972,,,,795,NEAR SOUTH SIDE
610530,South Shore Fine Arts Academy,ES,1415 E 70th St ,Chicago,IL,60637,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,,,,,,,56,55,0.936,22.4,0.963,,,,255,SOUTH SHORE
609745,Southside Occupational Academy High School,HS,7342 S Hoyne Ave ,Chicago,IL,60636,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,,52,,,47,60,63,60,0.855,13.1,0.952,40,71.7,,201,WEST ENGLEWOOD
610183,Spencer Technology Academy,ES,214 N Lavergne Ave ,Chicago,IL,60644,Austin-North Lawle Elementary Network,WEST SIDE COLLABORATIVE,35,50,57,71,66,56,50,55,0.925,24.1,0.96,,,,811,AUSTIN
610357,Spry Community Links High School,HS,2400 S Marshall Blvd ,Chicago,IL,60623,West Side High School Network,WEST SIDE COLLABORATIVE,70,,92,87,,,56,51,0.956,9.7,0.957,35,73.7,65.2,205,SOUTH LAWLE
609880,Stephen Decatur Classical Elementary School,ES,7030 N Sacramento Ave ,Chicago,IL,60645,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,99,99,99,99,99,99,52,46,0.962,2.8,0.954,,,,289,WEST RIDGE
609933,Stephen F Gale Elementary Community Academy,ES,1631 W Jonquil Ter ,Chicago,IL,60626,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,39,31,35,27,33,29,45,43,0.921,34.8,0.952,,,,532,ROGERS PARK
609976,Stephen K Hayt Elementary School,ES,1518 W Granville Ave ,Chicago,IL,60660,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,72,61,52,44,48,66,,,0.956,55.6,0.96,,,,1000,EDGEWATER
609724,Stephen T Mather High School,HS,5835 N Lincoln Ave ,Chicago,IL,60659,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,58,44,48,47,50,56,,,0.876,7.6,0.965,24.6,56.2,57.4,1657,WEST RIDGE
610191,Stone Elementary Scholastic Academy,ES,6239 N Leavitt St ,Chicago,IL,60659,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,78,,55,43,,,55,47,0.964,1.9,0.96,,,,646,WEST RIDGE
610405,Suder Montessori Magnet Elementary School,ES,2022 W Washington Blvd ,Chicago,IL,60612,Fulton Elementary Network,WEST SIDE COLLABORATIVE,,,,,,,,,0.966,6.5,0.957,,,,351,NEAR WEST SIDE
610249,Talman Elementary School,ES,5450 S Talman Ave ,Chicago,IL,60632,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,99,99,99,99,85,81,57,48,0.962,9.2,0.955,,,,376,GAGE PARK
610396,Tarkington School of Excellence Elementary School,ES,3330 W 71st St ,Chicago,IL,60629,AUSL Schools,SOUTHWEST SIDE COLLABORATIVE,48,,39,40,,,49,56,0.959,10.5,0.966,,,,1070,CHICAGO LAWN
