Date,Bullish,Neutral,Bearish,Total,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
11/12/2015,0.342723,0.42723,0.230047,1,2116.48,2068.24,2075
11/5/2015,0.39,0.424,0.186,1,2116.48,2058.84,2102.31
10/29/2015,0.403922,0.390196,0.205882,1,2090.35,2017.22,2090.35
10/22/2015,0.347656,0.412109,0.240234,1,2039.12,1990.73,2018.94
10/15/2015,0.340816,0.387755,0.271429,1,2022.34,1971.99,1994.24
10/8/2015,0.375238,0.342857,0.281905,1,1999.31,1871.91,1995.83
10/1/2015,0.281059,0.319756,0.399185,1,1979.64,1871.91,1884.09
9/24/2015,0.321199,0.391863,0.286938,1,2020.86,1939.19,1966.97
9/17/2015,0.332645,0.376033,0.291322,1,1997.26,1927.3,1995.31
9/10/2015,0.346499,0.303411,0.35009,1,1988.63,1903.07,1942.04
9/3/2015,0.323843,0.359431,0.316726,1,1993.48,1867.08,1948.86
8/27/2015,0.325,0.292308,0.382692,1,2103.47,1867.01,1940.51
8/20/2015,0.268199,0.398467,0.333333,1,2103.47,2052.09,2079.61
8/13/2015,0.304519,0.333988,0.361493,1,2112.66,2052.09,2086.05
8/6/2015,0.243187,0.440252,0.316562,1,2114.24,2063.52,2099.84
7/30/2015,0.211055,0.38191,0.407035,1,2132.82,2063.52,2108.57
7/23/2015,0.3254,0.4187,0.256,1,2132.82,2102.49,2114.15
7/16/2015,0.308108,0.459459,0.232432,1,2114.14,2044.02,2107.4
7/9/2015,0.27907,0.429175,0.291755,1,2098.63,2044.02,2046.68
7/2/2015,0.226121,0.423002,0.350877,1,2128.03,2056.32,2077.42
6/25/2015,0.355556,0.427778,0.216667,1,2129.87,2082.1,2108.58
6/18/2015,0.254083,0.402904,0.343013,1,2115.02,2072.14,2100.44
6/11/2015,0.200375,0.473783,0.325843,1,2121.92,2072.14,2105.2
6/4/2015,0.273399,0.480296,0.246305,1,2126.22,2099.14,2114.07
5/28/2015,0.270019,0.478585,0.251397,1,2134.72,2099.18,2123.48
5/21/2015,0.252119,0.497881,0.25,1,2134.72,2085.57,2125.85
5/14/2015,0.267442,0.468992,0.263566,1,2117.69,2067.93,2098.48
5/7/2015,0.270563,0.461039,0.268398,1,2120.95,2067.93,2080.15
4/30/2015,0.308362,0.472125,0.219512,1,2125.92,2091.05,2106.85
4/23/2015,0.3147,0.453416,0.231884,1,2111.91,2072.37,2107.96
4/16/2015,0.320675,0.451477,0.227848,1,2111.91,2073.3,2106.63
4/9/2015,0.287016,0.471526,0.241458,1,2089.81,2048.38,2081.9
4/2/2015,0.353952,0.32646,0.319588,1,2107.63,2045.5,2059.69
3/26/2015,0.384298,0.371901,0.243802,1,2114.86,2061.05,2061.05
3/19/2015,0.271605,0.41358,0.314815,1,2106.85,2039.69,2099.5
3/12/2015,0.315961,0.429967,0.254072,1,2115.76,2039.69,2040.24
3/5/2015,0.398026,0.368421,0.233553,1,2119.59,2087.62,2098.53
2/26/2015,0.453731,0.343284,0.202985,1,2119.59,2085.44,2113.86
2/19/2015,0.470199,0.350993,0.178808,1,2101.3,2041.88,2099.68
2/12/2015,0.4,0.396721,0.203279,1,2073.48,2022.71,2068.53
2/5/2015,0.354949,0.320819,0.324232,1,2057.62,1980.9,2050.03
1/29/2015,0.441718,0.334356,0.223926,1,2064.62,2001.49,2002.16
1/22/2015,0.371429,0.320635,0.307937,1,2056.93,1988.12,2032.12
1/15/2015,0.461059,0.323988,0.214953,1,2064.43,1988.44,2011.27
1/8/2015,0.410072,0.31295,0.276978,1,2093.55,1992.44,2025.9
1/1/2015,0.517375,0.289575,0.19305,1,2093.55,2017.34,2020.58
12/25/2014,0.509434,0.301887,0.188679,1,2093.55,2018.98,2090.57
12/18/2014,0.387352,0.343874,0.268775,1,2060.6,2002.33,2012.89
12/11/2014,0.450172,0.32646,0.223368,1,2079.47,2024.26,2026.14
12/4/2014,0.426778,0.313808,0.259414,1,2076.28,2049.57,2074.33
11/27/2014,0.521452,0.270627,0.207921,1,2075.76,2040.37,2067.56
11/20/2014,0.491176,0.270588,0.238235,1,2056.08,2030.44,2048.72
11/13/2014,0.57931,0.227586,0.193103,1,2041.28,2001.01,2038.25
11/6/2014,0.526882,0.322581,0.150538,1,2024.46,1964.14,2023.57
10/30/2014,0.493711,0.295597,0.210692,1,1991.4,1909.38,1982.3
10/23/2014,0.496875,0.278125,0.225,1,1949.31,1820.66,1927.11
10/16/2014,0.42663,0.236413,0.336957,1,1970.36,1820.66,1862.49
10/9/2014,0.398773,0.291411,0.309816,1,1985.17,1925.25,1968.89
10/2/2014,0.354167,0.336806,0.309028,1,1999.79,1941.72,1946.16
9/25/2014,0.418367,0.29932,0.282313,1,2019.26,1978.63,1998.3
9/18/2014,0.42236,0.347826,0.229814,1,2010.74,1978.48,2001.57
9/11/2014,0.403846,0.330128,0.266026,1,2011.17,1982.99,1995.69
9/4/2014,0.446746,0.313609,0.239645,1,2009.28,1990.52,2000.72
8/28/2014,0.519231,0.288462,0.192308,1,2005.04,1972.73,2000.12
